ลำดับ,ลำดับคณะ,คณะ,สาขาวิชา,ภาคปกติ (จันทร์-ศุกร์),เสาร์-อาทิตย์ (กศ.บป.)
1,1,คณะครุศาสตร์,การศึกษาปฐมวัย,เปิด,-
2,1,คณะครุศาสตร์,การประถมศึกษา,เปิด,-
3,1,คณะครุศาสตร์,ดนตรีศึกษา,เปิด,-
4,1,คณะครุศาสตร์,คอมพิวเตอร์ศึกษา,เปิด,-
5,1,คณะครุศาสตร์,วิทยาศาสตร์ทั่วไป,เปิด,-
6,1,คณะครุศาสตร์,สังคมศึกษา,เปิด,-
7,1,คณะครุศาสตร์,พลศึกษา,เปิด,-
8,1,คณะครุศาสตร์,ภาษาไทย,เปิด,-
9,1,คณะครุศาสตร์,คณิตศาสตร์,เปิด,-
10,1,คณะครุศาสตร์,เคมี,เปิด,-
11,1,คณะครุศาสตร์,ภาษาอังกฤษ,เปิด,-
12,2,คณะวิทยาศาสตร์และเทคโนโลยี,วิทยาการคอมพิวเตอร์,เปิด,-
13,2,คณะวิทยาศาสตร์และเทคโนโลยี,เทคโนโลยีสารสนเทศ,เปิด,-
14,2,คณะวิทยาศาสตร์และเทคโนโลยี,เคมี,เปิด,-
15,2,คณะวิทยาศาสตร์และเทคโนโลยี,ชีววิทยา,เปิด,-
16,2,คณะวิทยาศาสตร์และเทคโนโลยี,วิทยาศาสตร์สิ่งแวดล้อม,เปิด,-
17,2,คณะวิทยาศาสตร์และเทคโนโลยี,คหกรรมศาสตร์,เปิด,-
18,2,คณะวิทยาศาสตร์และเทคโนโลยี,เทคโนโลยีสถาปัตยกรรม,เปิด,-
19,2,คณะวิทยาศาสตร์และเทคโนโลยี,สาธารณสุขศาสตร์,เปิด,-
20,2,คณะวิทยาศาสตร์และเทคโนโลยี,เทคโนโลยีอุตสาหการ,เปิด,-
21,3,คณะเทคโนโลยีการเกษตร,เทคโนโลยีอาหาร,เปิด,-
22,3,คณะเทคโนโลยีการเกษตร,เทคโนโลยีการประมง,เปิด,-
23,3,คณะเทคโนโลยีการเกษตร,การจัดการทรัพยากรเกษตรเพื่อการท่องเที่ยว,เปิด,-
24,3,คณะเทคโนโลยีการเกษตร,เทคโนโลยีภูมิทัศน์และพืชสวน,เปิด,-
25,3,คณะเทคโนโลยีการเกษตร,เทคโนโลยีการประกอบการธุรกิจอาหาร,เปิด,-
26,4,คณะมนุษยศาสตร์และสังคมศาสตร์,สารสนเทศศาสตร์และบรรณารักษศาสตร์,เปิด,-
27,4,คณะมนุษยศาสตร์และสังคมศาสตร์,ภาษาไทย,เปิด,-
28,4,คณะมนุษยศาสตร์และสังคมศาสตร์,การพัฒนาชุมชน,เปิด,เปิด
29,4,คณะมนุษยศาสตร์และสังคมศาสตร์,ภาษาจีนเพื่อการสื่อสาร,เปิด,-
30,4,คณะมนุษยศาสตร์และสังคมศาสตร์,ภาษาอังกฤษเพื่ออุตสาหกรรมบริการ,เปิด,-
31,4,คณะมนุษยศาสตร์และสังคมศาสตร์,ทัศนศิลป์,เปิด,-
32,4,คณะมนุษยศาสตร์และสังคมศาสตร์,ศิลปะการจัดการแสดง,เปิด,-
33,4,คณะมนุษยศาสตร์และสังคมศาสตร์,นวัตกรรมการออกแบบ,เปิด,-
34,4,คณะมนุษยศาสตร์และสังคมศาสตร์,รัฐประศาสนศาสตร์,เปิด,เปิด
35,4,คณะมนุษยศาสตร์และสังคมศาสตร์,นิติศาสตร์,เปิด,-
36,5,คณะวิทยาการจัดการ,การบริหารทรัพยากรมนุษย์,เปิด,เปิด
37,5,คณะวิทยาการจัดการ,คอมพิวเตอร์ธุรกิจ,เปิด,เปิด
38,5,คณะวิทยาการจัดการ,การตลาด,เปิด,เปิด
39,5,คณะวิทยาการจัดการ,การจัดการธุรกิจโรงแรม,เปิด,เปิด
40,5,คณะวิทยาการจัดการ,การเป็นผู้ประกอบการ,เปิด,เปิด
41,5,คณะวิทยาการจัดการ,การจัดการนวัตกรรมการบริการ,เปิด,-
42,5,คณะวิทยาการจัดการ,การจัดการธุรกิจการบิน,เปิด,-
43,5,คณะวิทยาการจัดการ,การจัดการท่องเที่ยวและบริการ (หลักสูตรภาษาอังกฤษ),เปิด,-
44,5,คณะวิทยาการจัดการ,การจัดการท่องเที่ยวทางทะเล,เปิด,-
45,5,คณะวิทยาการจัดการ,การจัดการท่องเที่ยวและบริการ,เปิด,เปิด
46,5,คณะวิทยาการจัดการ,นิเทศศาสตร์,เปิด,-
47,5,คณะวิทยาการจัดการ,การบัญชี,เปิด,-
48,5,คณะวิทยาการจัดการ,บริหารธุรกิจ (วิชาเอกการจัดการทั่วไป),-,เปิด
